dataset,type,time
A,nonblock,1673
A,nonblock,966
A,nonblock,853
A,nonblock,835
A,nonblock,941
A,nonblock,904
A,nonblock,906
A,nonblock,849
A,nonblock,824
A,nonblock,932
A,nonblock,790
A,nonblock,775
A,nonblock,893
A,nonblock,809
A,nonblock,800
A,nonblock,803
A,nonblock,804
A,nonblock,787
A,nonblock,819
A,nonblock,804
A,nonblock,790
A,nonblock,797
A,nonblock,769
A,nonblock,835
A,nonblock,748
A,nonblock,891
A,nonblock,896
A,nonblock,794
A,nonblock,789
A,nonblock,793
A,block,1819
A,block,1197
A,block,1116
A,block,1024
A,block,1078
A,block,1004
A,block,986
A,block,981
A,block,1128
A,block,1044
A,block,997
A,block,1010
A,block,927
A,block,994
A,block,1031
A,block,952
A,block,1168
A,block,1001
A,block,957
A,block,1008
A,block,1032
A,block,905
A,block,1241
A,block,982
A,block,1033
A,block,1002
A,block,946
A,block,989
A,block,886
A,block,964
B,nonblock,8093
B,nonblock,6943
B,nonblock,6438
B,nonblock,6374
B,nonblock,6354
B,nonblock,6340
B,nonblock,6424
B,nonblock,6163
B,nonblock,6391
B,nonblock,6394
B,nonblock,6257
B,nonblock,6175
B,nonblock,6173
B,nonblock,6163
B,nonblock,6199
B,nonblock,6216
B,nonblock,6167
B,nonblock,6098
B,nonblock,6351
B,nonblock,6192
B,nonblock,6042
B,nonblock,6229
B,nonblock,6241
B,nonblock,6070
B,nonblock,6149
B,nonblock,6470
B,nonblock,6224
B,nonblock,6088
B,nonblock,6427
B,nonblock,6460
B,block,9172
B,block,7430
B,block,6893
B,block,6961
B,block,6904
B,block,6685
B,block,6948
B,block,6623
B,block,6686
B,block,6652
B,block,6693
B,block,6789
B,block,6654
B,block,6619
B,block,6636
B,block,6691
B,block,6562
B,block,6681
B,block,7089
B,block,6728
B,block,6589
B,block,6603
B,block,6490
B,block,6558
B,block,6756
B,block,6748
B,block,6547
B,block,6802
B,block,6705
B,block,6498
C,nonblock,6851
C,nonblock,5733
C,nonblock,5818
C,nonblock,5333
C,nonblock,5574
C,nonblock,5346
C,nonblock,5288
C,nonblock,5309
C,nonblock,5486
C,nonblock,5708
C,nonblock,5407
C,nonblock,5634
C,nonblock,6154
C,nonblock,6056
C,nonblock,6021
C,nonblock,5434
C,nonblock,5179
C,nonblock,5206
C,nonblock,5159
C,nonblock,5433
C,nonblock,5193
C,nonblock,5229
C,nonblock,5116
C,nonblock,5115
C,nonblock,5200
C,nonblock,5409
C,nonblock,5229
C,nonblock,5080
C,nonblock,5132
C,nonblock,5084
C,block,7099
C,block,5716
C,block,5385
C,block,5310
C,block,5683
C,block,5440
C,block,5946
C,block,5506
C,block,5452
C,block,5425
C,block,5206
C,block,5302
C,block,5497
C,block,5343
C,block,5360
C,block,5274
C,block,5428
C,block,5366
C,block,5570
C,block,5284
C,block,5449
C,block,5342
C,block,5433
C,block,5301
C,block,5197
C,block,5284
C,block,5283
C,block,5223
C,block,5364
C,block,5494
D,nonblock,13944
D,nonblock,12280
D,nonblock,11802
D,nonblock,11728
D,nonblock,11584
D,nonblock,11400
D,nonblock,11476
D,nonblock,11562
D,nonblock,11486
D,nonblock,11578
D,nonblock,11849
D,nonblock,11663
D,nonblock,11479
D,nonblock,11519
D,nonblock,11484
D,nonblock,11732
D,nonblock,12864
D,nonblock,11560
D,nonblock,11347
D,nonblock,11491
D,nonblock,11573
D,nonblock,11548
D,nonblock,11419
D,nonblock,11681
D,nonblock,11619
D,nonblock,11576
D,nonblock,11470
D,nonblock,11268
D,nonblock,11325
D,nonblock,11589
D,block,12457
D,block,12517
D,block,11697
D,block,11475
D,block,11064
D,block,11056
D,block,12949
D,block,11479
D,block,11516
D,block,12900
D,block,11468
D,block,11466
D,block,12832
D,block,11523
D,block,11277
D,block,11029
D,block,12598
D,block,11551
D,block,12073
D,block,11606
D,block,11292
D,block,12154
D,block,13209
D,block,11730
D,block,13214
D,block,13191
D,block,13299
D,block,12058
D,block,11903
D,block,13148
